"APPLICATION_NAME","FULL_NAME","TEXT","DATA_MODEL_URL","MINISTRY_NAME","DIVISION_NAME","BRANCH_NAME","SECTION_NAME","APPLICATION_CLASS_CODE"
CORE,Conservation Outdoor Rec. and Education System - RETIRED,"Record and make easily accessible personal, examination success and testing information of 5,000 students and 550 examiners annually.  Since 1998, all certificate issuance and data collection has been performed by BC Wildlife Federation, using their own application system (single-user Access 97 database).  BCWF provides the Ministry CORE system with quarterly data updates.

This is only a database, not a system

Historically belonging to: UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
CORP,Corporate Tables ,"Corporate Tables are tables that are defined as having custodial responsibility, that are source of truth for codes and are to be shared through the enterprise. They will reside in a CORP schema on databases where required. See notes for data model locations and directions for update.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,DS
CORTEMP,Correspondence Templates,"The correspondence templates are a combination of a Word Addin and Word Template.  The user customizes them by populating fields with data.  This is then saved for future use.

2016-Sep-20 TQIN: The CORTEMP project is now complete, and yet data in the IRS listing is out of date. BPM/project manager Jennifer Dowd informed that the business area now has a direct contract with the vendor and does not require support from IMB. Changed status from Active to Retirement in Progress.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,LW
CPP_ALAR_FNC,First Nations Consultation or Consultative Areas Database - RETIRED,"Corporate Policy and Planning - Aboriginal Land and Resources: This 1st Edition map service should be used as a guide to establishing the appropriate First Nation Organization(s) to consult regarding a particular location. For further information regarding this application go to http://maps.bcgov/apps/cbd/html/Ministry/min_main.jsp
DUPLICATE ENTRY OF CBD (AKA CAD)

Historically belonging to: Ministry of Indigenous Relations and Reconciliation, Strategic Partnerships and Initiatives Division, Major Projects and Strategic Consultation Initiatives, N/A",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
CREWPT,Crew Project Tracking,Status re-verified as per BPM - Nov 2019 ,,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
CREWREC,Crew Recruiting,"Status re-verified as per BPM - Nov 2019

This application allows prospective wildfire firefighters to apply online using the public component.  

In late 2014, the public component was disabled and applications are now only accepted via PSA`s website.  PSA then emails an Excel file to the application owner who places it in \\appfiles.nrs.bcgov\CrewRecImport$ or \\testappfiles.nrs.bcgov\CrewRecImport_Test$ as appropriate, after following the directions in the readme file in that folder.

Once the application is submitted via PSA/Excel file, selected WMB employees use the internal component to screen applications, leading to an eventual hiring process.

Note: Old documentation for the original version of this application is stored at https://extranet.for.gov.bc.ca/eScripts/AppDev/Applications/WebApps/AppData/CrewRec_iis_Data.asp",,Ministry of Forests,BC Wildfire Service,N/A,N/A,LW
CRIMS,British Columbia Coastal Resource Information System,"The British Columbia Coastal Resource Information System (CRIMS) is an internet based interactive map for viewing coastal and marine data. A wide variety of coast and marine resources are included, such as aquaculture, shoreline classification, selected fisheries information, and offshore oil and gas information.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,DS
CRISP,Comprehensive Records and Information System for Pesticides,"CRISP is an electronic data system that serves the statutory obligations of the Ministry of Environment in administering instruments and activities under the Integrated Pest Management Act and Regulation for the regulation of pesticides in British Columbia. The instruments and functions that CRISP is used for include: Pesticide Certification, Pesticide Licensing, Authorities and Incident and Compliance.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=c5dc675b53c04498a28f2dd9c0623715,Ministry of Environment and Climate Change Strategy,Environmental Protection,Digital Services,N/A,STD
CRISPWS,Comprehensive Records and Information System for Pesticides Web Service,"CRISPWS is an electronic data system that serves the statutory obligations of the Ministry of Environment in administering instruments and activities under the Integrated Pest Management Act and Regulation for the regulation of pesticides in British Columbia. The instruments and functions that CRISPWS is used for Residential Pesticide Application Certification.  This will allow Open Education to consume a web service, generate a PDF certificate, and write the transaction record to the existing Crisp Database. ",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Digital Services,N/A,STD
CRITICALL,CritiCall / TestGenius,"COTS software used for testing prospective Dispatchers prior to being hired

Upgraded spring 2020 to TestGenius 

Vendor website: http://criticall911.com/ and https://testgenius.com/

TestGenius is installed in the same original folders:
\\bcwsdata.nrs.bcgov\CritiCallShortcut
\\bcwsdata.nrs.bcgov\CritiCall ",,Ministry of Forests,BC Wildfire Service,N/A,N/A,COTS
CRMS,Corporate Records Management System,[LOB Data]Corporate Records Management,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
CRSRA,Corporate Reporting System - Report Admin,"This application allows specified MoF staff to input and update data which is used to build Corporate Reporting System menus.

*Retirement in progress
See NRPPOS-1257",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=28396981ea504074a1742530f0659100,"Ministry of Water, Land and Resource Stewardship",Corporate Services for the Natural Resource Ministries,Financial Services Branch,"Financial Accounting, Operations & Systems (FinOps)",STD
CRSRM,Corporate Reporting System - Report Menu - RETIRED,This application allows access by all users to the Corporate Reporting System menu of available reports with links to the appropriate Crystal Reports.,http://www.for.gov.bc.ca/pscripts/isb/idd/apps_log.asp#MAX,"Ministry of Water, Land and Resource Stewardship",Corporate Services for the Natural Resource Ministries,Financial Services Branch,"Financial Accounting, Operations & Systems (FinOps)",STD
CRTIS,Commercial Recreational Tenure Information System - RETIRED,"[INAP DATA]A database that records information regarding commercial recreational tenure use.

Historically belonging to: UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
CRTS,Consultation Report and Tracking System,"SharePoint using InfoPath forms
https://nrm.sp.gov.bc.ca/sites/CRTS/CRTS/Consultation_Centre/default.aspx",,Ministry of Forests,Associate Deputy Ministers Office,Indigenous Relations Branch,N/A,COTS
CRU,Cruise Compilation System,"CruiseComp is a timber cruise software program supported by Industrial Forestry Service Ltd that allows the user to compile timber cruise data to MoF standards and international specifications.  Currently used by Coastal and Interior licensees and BC Timber Sales. Cruiser Desktop is planned to   replace Cruise Comp both applications be used simultaneously until Cruiser Desktop is fully adopted 

C++, MSAccess, CCF, 32bit software  
",,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,COTS
CRUDESKTOP,Cruiser Desktop,"Cruiser Desktop is replacing the current Cruise Compilation System (CRU). It is a timber cruise software program supported by Industrial Forestry Service Ltd that allows the user to compile timber cruise data to MoF standards and international specifications. Currently used BC Timber Sales, Timber Pricing Branch as well as Coastal and Interior licensees.  BCTS and Timber Pricing each pay their own annual licensing for the application.  There is a single deployment with 2 security groups.  Both Cruiser Desktop and Cruise Comp will be used simultaneously until Cruiser Desktop is fully adopted ",,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,COTS
CSAS,Cost Sharing Analysis Tool - RETIRED,System to determine cost sharing for First Nations treaties - replaced with CSAT,https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=5dd1aeedcd2a4cc9ace992345f9b0b83,Ministry of Indigenous Relations and Reconciliation,Strategic Partnerships and Initiatives Division,Fiscal Branch,N/A,STD
CSAT,Cost Sharing Analysis Tool,"BC provincial timber sales data is compiled on CSAT for analysis and sharing with the Government of Canada who also complete analysis on their own install of CSAT.
A contractor (Sharene Foord) is responsible for receiving, uploading, and quality control of data from each region.
Data sets can be very large and cumbersome. FME workbench and scripts (developed by VIVID) help with upload.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=5a495ffe74964b0380e76041165387ef,Ministry of Indigenous Relations and Reconciliation,Strategic Partnerships and Initiatives Division,Fiscal Branch,N/A,STD
CSD,Corporate Services Data - RETIRED,"[INAP DATA]Application accesses all of the various inventory data sets created for the CSD group.  This includes various object inventories as well as staff contact and work related information.

Historically belonging to: UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
CSNRGTS0,CSNR GTS Services 0,"CSNR GTS Services cluster number 0. Contain a version of ArcGIS, and supporting file servers.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
CSNRGTS1,CSNR GTS Services 1,"CSNR GTS Services cluster number 1. Contain a version of ArcGIS, and supporting file servers.

!! 2018 Wildfire Servers !!",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
CSNRGTS2,CSNR GTS Services 2,"CSNR GTS Services cluster number 2. Contain a version of ArcGIS, and supporting file servers.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
CSNRGTS3,CSNR GTS Services 3,"CSNR GTS Services cluster number 3. Contain a version of ArcGIS Pro, other 64bit software and supporting file servers.
",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
CSNRGTS4,CSNR GTS Services 4,"CSNR GTS Services cluster number 4. Contain a version of ArcGIS, and supporting file servers.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
CSNRGTS5,CSNR GTS Services 5,"CSNR GTS Services cluster number 5. Contain a version of ArcGIS, and supporting file servers.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
CSNRGTSTest,CSNR GTS Services Test,CSNR GTS Services ArcGIS dedicated support and test server.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
CSP,Coast Selling Price System,"This application allows Industry to upload invoice and Industry trend data. Timber Pricing in Revenue Branch analyzes the Industry data and provides selling price data used in Appraisals, (GAS).

Users without access will not receive a response from the application.
",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=9178c51d9247414bb00b5fd7d33bc111,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,STD
CSS,Contract Summary System (BCTS),"The Contract Summary System is used by BC Timber Sales to track contracts, contract payments, etc.  There are 13 (one for each timber sale office and HQ)identical MS Access applications accessible through citrix for users.",,Ministry of Forests,"Timber, Range and Economics Division",BC Timber Sales Branch,N/A,STD
CSTEM,Coast Searchable Terrestrial Ecosystem Mapping,"Web-Based Searchable (Terrestrial Ecosystem Mapping) TEM map.
 
The products consist of a searchable  MS-Access database and continuous shapefile of TEM projects, an Index.htm file and an ASP file.  

The projects were initially produced by a combination of forest licensees (e.g., through FRBC funding or on contract to MoFR), MoFR contractors, agency staff.  The data have been compiled by downloading from the MoE searchable database, ECOCat (public data).

The map of TEM projects and their boundaries within the RCO will be linked to the RCO Research Ecology section Public web page. The user will be able to click on a TEM project polygon and get a popup of standardized information indicating what data are available for that project, when they were collected, to what standard, and where they reside.  

MoE has provide email confirmation that the original index file can be used as the basis for the subsequent map and project standardization.   

The application will have a graphical user interface written in ASP to simplify queries and produces areal results.  The map will have links to the location of the individual project data.

2015-Dec-17 TQIN: BPM Brian McLennan indicated that MoE is looking after this business area now and the data collected under FLNRO is obsolete. So the app is not active. Changing Status from Active to Retirement in Progress. May still need to confirm with the business area to ensure the transfer is complete and that data needing to be removed from IRS is removed.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,UNKNOWN,UNKNOWN,LW
CTHUB,Clean Transportation Datahub,"An internal business intelligence tool that consolidates, stores or connects to alternative energy and clean transportation program data to facilitate business decisions and insights from data analysis and trends.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=6a56bb314382407d9417f13ad483f0bd,"Ministry of Energy, Mines and Low Carbon Innovation",UNKNOWN,UNKNOWN,UNKNOWN,PAAS
CUSTODIANS,Custodians Access Management,"This application will allow Custodians and their Delegates to manage access to their applications and sites. It replaces the Custodians web site.

Effective Sept 6th 2018: Requests for access for litigation program staff to Xanadu-2, 3 will come from:

Elena Sidlichenko  primary
Tami Balsom - secondary
Rayna DeHoog - Lead
Claire Vike  Lead
Lynn Parent  Manager",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
CVIS,Compliance Verification Information System,"Compliance Verification is a task undertaken by multiple business areas within the Ministry.  As such, the Compliance Verification Information System will be a java oracle solution that will allow existing permit and authorization systems to connect to it in order to centrally record inspection, audit and resulting investigation details.  As these efforts may result in an enforcement action, it is only logical that the data be stored within the existing CORS database.

The application has been expanded in 2014 to include a java screens component with a subapplication called Natural Resource Inspection System (NRIS). 

As of 2023, NRIS clients are:
FOR CEB, ENV EPD CEEB, ENV BC Parks, EMLI MHSE and ALC 
Users should request access from their respective app admins

Oct 10 2023 - conversation with Andrew Wong: Training environment is not maintained. Stale by at least two years. 

October 4, 2023 - ERA investigation screens built into CVIS, CVIS 5.0 is the CVIS release for this functionality. ERA will remain running, as data not transferred to ERA and therefore existing investigations will be accessed from ERA.

January 17, 2024 - Release 5.1 - Increase character limits in `details/findings` and `compliance history` fields. Improve the usability of NRIS to allow staff to be more efficient. Template Standardization. Add Area field for complaints, patrol, inspections screens",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=bde7d663c2b14c828c586f5960874408,Ministry of Environment and Climate Change Strategy,Environmental Protection,Digital Services,N/A,STD
CVOSS,Cut Volume Estimator Service,A set of tools to allow users to calculate the Cut Volume of a specific geographic polygon built for OLTC on the NRSOS,,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,ISSSSVC
CWB,Floodplains Mapping Boundaries in BC,"[DATASET] Retired - replaced by FWA
Designated Floodplain Boundaries in BC. Digitized from hardcopy 1:5,000 Floodplain Mapsheets for each project area.


Floodplain Boundaries are provided to support broad based floodplain management reviews and land use planning
*updated BPM September 16, 2015 - KK",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=83501c36de1441b198edb9d5ec1b1fd5,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,DS
CWI,Wildlife Sighting Form (Consolidated Wildlife Inventory) - RETIRED,"*Replaced with WIOF* Consolidated Wildlife Inventory - web based (java?) form available to the public to input data into CWI_SPI_DC dB.  There is no data verification done before entry and the app is not publicly advertised.

FROM WIKI
URL - http://a100.gov.bc.ca/pub/cwi

No Delivery or Test environment",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,STD
CWI_SPI_DC,Consolidated Wildlife Inventory - Species - Data Capture,"A system to store wildlife inventory data collected during surveys undertaken to determine the presence or absence; relative abundance or absolute abundance of any wildlife species. This has 3 operational components with 3 data models CWI_SPI_OPD, CWI_SPI_DC, CWI_TXN. The warehouse model is found in CWI_SPI_OPD The SPI DC database is designed to capture data and hold it for upload into the SPI_OPD operational database.The SPI_DC database is designed to run independently of the SPI_OPD application and has it`s own UI program. CWI_TXN maintains taxonomy for Species Inventory (SPI), Broad Ecosystem Inventory (BEI) and Detailed Ecosystem Inventory (DEI). CWI is Consolidated Wildlife Inventory",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=9255db16a93c47bf88beed22791cf13e,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,STD
CWI_SPI_OPD,Consolidated Wildlife Inventory - Species - Operational Database,"One of the the three schemas that part of the description of SPI. Holds a copy of a subset of the data in the CWI_SPI_DC sechema. Is becoming obselete because the CWI_SPI_DC sechma is sufficient. To be retired once all depencencies are consolidated.

Solution Purpose: 

To provide a small part of SPI information to the public.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=64a0c7986ff1475393a84a6157654be9,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,STD
CWM,Common Web Mapping,"The purpose of the Common Web Mapping project is to implement an integrated Common Web Mapping Service (CWMS) as part of the ISSS infrastructure to support mapping requirements of the NRP Project and associated sector transformational projects. It is also intended to play a role in replacing/providing a solution replacement for existing and aging IMF technology used by Natural Resource Sector (NRS) applications.

For infrastructure and midtier changes, testing and verification is completed through Line-of-business mapping test cases: AS/NROS, EYOR, ILRR, MTO, RAAD3, SNCSC",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=989e9661f070423c891241c663b1b5ae,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Digital Partnerships and Solutions,Development & Digital Services,ISSSSVC
CWMCWMSAPIV1,CWM Common Web Mapping Service API V1,"This represent the application programming interface providing a shared interfaces for client applications using Common Web Mapping.

For infrastructure and midtier changes, testing and verification is completed through Line-of-business mapping test cases: AS/NROS, EYOR, ILRR, MTO, RAAD3",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Digital Partnerships and Solutions,Development & Digital Services,ISSSAPI
CWMMISRESTV1,CWM MIS REST  V1,Shared common web mapping imaging service API,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,ISSSAPI
CWMSHOWCASE,Common Web Mapping  Showcase,"The NRS Common Web Mapping (CWM) framework provides a simple, powerful and lightweight mapping capability for web-browser based client applications. CWM is integrated with the NRS ISSS service-based architecture. It fully supports the ISSS Operational Spatial Database.

The CWM Client is an HTML component (including CSS and JavaScript) which can be added to host application web pages to display and interact with maps and spatial data. The component provides a simple API to let host pages interact with the map to display and manipulate spatial data. The component is implemented using modern development practices for JavaScript, CSS and HTML5. This site provides all the information a developer needs to use the CWM Client.

The CWM Service provides web services which can be used by the client component and other applications to facilitate interacting with and displaying spatial data.
",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Digital Partnerships and Solutions,Development & Digital Services,ISSSSVC
CWMSOSAPIV1,CWM Spatial Overlay Service API V1,"Shared common web mapping spatial overlay service API

For infrastructure and midtier changes, testing and verification is completed through Line-of-business mapping test cases: ARTS, FNP, SNCSC",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,ISSSAPI
CWS,Fisheries Consolidated Waterbody Surveys,"Field data is collected through surveys associated with various projects like RAB, FHIIP, and FDIS. The type of survey data collected for each project is similar in nature and data from multiple projects may be collected against the same waterbody. It is therefore beneficial to see data from all projects consolidated into a single set of tables.
The CWS is a collection of tables, triggers, and a dataload database package. As DML is executed against tables in various application tables, triggers record this as transactions in a CWS transaction table. On a daily basis, the dataload package reads through the transaction table and consolidates the date from the application tables into the CWS tables.

June 2020: CWS tables removed from ENV databases. the LSSS application that used them was removed over 10 years ago. Finally removing these tables to minimize confusion.",https://a100.gov.bc.ca/int/robread/odwa_fol.go?p_session_id=58937&p_ivid=354572426300902248074225545056589317,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,DS
CoreFTP,CoreFTP,"THIS RECORD SHOULD NEVER HAVE BEEN ADDED TO IRS. COREFTP IS SIMPLY AN FTP CLIENT THAT THE BUSINESS AREA CHOOSE TO USE, NOT AN NRIDS SUPPORTED APP
THEY USE IT TO SUPPORT THEIR BUSINESS PROCESS THAT SEES HEM MOVE DATA VIA FTP (SEE CONFLUENCE LINK BELOW)

CoreFTP is a free FTP client software for Windows. Features like SFTP (SSH), SSL, TLS, FTPS, etc. See http://www.coreftp.com 


Access for the THE FTP SITE should be through Tina D`Archangelo.

Additional Information to add users can be found here:  https://apps.nrs.gov.bc.ca/int/confluence/pages/viewpage.action?pageId=83568131",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
DAM,Dam Safety - RETIRED,"[INAP DATA]Dam safety, licensing and revenue information stored in the WRIS database. Can be removed from inventory.  (This DAM `system` appears to be a redundant entry for information that is already maintained in the WRIS system).

Historically belonging to: Ministry of Environment and Climate Change Strategy, Resource Stewardship Division, Water Management Branch, Dam Safety Section",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,DS
DAMS,Driver Abstract Management System,"Keeps track of employees who drive vehicles of a certain size.  This information is required by Transport Canada. Under the National Safety Code.

Conversion from Access 2003 to Acces 2010 completed in 2018.
",,"Ministry of Water, Land and Resource Stewardship",Corporate Services for the Natural Resource Ministries,"Facilities, Fleet and Corporate Security Branch",N/A,STD
DAP,NRM Data Analytics Platform,"The NRM Data Analytics Platform (DAP) primary intent is to provide access to a secure, cleansed and well-documented set of data assets stored in two different groups of databases; for the purpose of reporting and business intelligence / analytics:

Operational Data Store (ODS) -

Will provide access to exact copies of data assets residing in Line of Business databases, as well as data constructs (views, materialized views); that will be refreshed on pre-defined schedules (nightly by default, other schedules by exception). Data consumption against this database will be intended for traditional reporting.

Data Lakehouse (DLH) - 

Will provide access to summarized copies of data assets originally replicated to the ODS; with the exclusive purpose of producing analytics and business intelligence artifacts, including Machine Learning and Artificial Intelligence. The Data Lakehouse will allow for the transformation and combination of structured and semi-structured data, including the consumption of public Data APIs and Object Storage.

These databases are currently in the Design Phase and are expected to become available to early adopters in the first quarter of 2024.

Onboarding to these databases will require data custodians, report publishers and report consumers to work together to establish data classification, metadata, replication and data transformation mechanisms and security access roles.

NRM Data Foundations will provide support and establish rules for data publication to this platform. Please reach out to NRM.DataFoundations@gov.bc.ca for more information.

Technologies:
- Apache Airflow
- Airbyte
- DBT
- Azure Data Gateway
- Microsoft Power BI
- OpenShift Container Platform
- GitHub/GitHub Actions",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,NR Sector Digital Services,UNKNOWN,PAAS
DAS,Data Acquisition System  ,"AIR Data Acquisition System.  
DAS is a COTS solution to provide environmental and energy monitoring solutions that include distributed data acquisition and reporting

Has web component - http://envistaweb.env.gov.bc.ca/ 

Added Sept 1, 2021
The Data Acquisition System (DAS) is a Commercial Off the Shelf system that is used to acquire, store, and publish ambient air quality and meteorological data from monitoring stations throughout the Province of British Columbia. Data is collected from monitoring stations maintained by the Ministry and is augmented by monitoring data collected by permittees (industry), BC Hydro, Prince Rupert Port Authority and Metro Vancouver. DAS facilitates reporting, analysis and sharing of ambient air quality and meteorological data for policy and decision-making, scientific research, and public reporting web and application interfaces. The system is deemed mission critical (particularly during the summer and fire season and winter valley inversions) and is vital to the Ministry of Environment and Climate Change Strategys environmental monitoring and reporting responsibilities.

SSL Certificate Expires on Dec 13th, 2022 and at or about Oct 30th the work to renew the certificate needs to occur. The information is in DAS-124 Jira Ticket

TEC Bulletin`s and Notifications are within the Business AREA as to Responsibility (see View Notes for details) The TEC Bulletin for the April 6th, 2022 migration to PROD is in the jira sub-task DAS-147
",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",COTS
DBM,Digital Baseline Mapping,"Map Sheet grids for NTS mapping and BCGS mapping at various scales.
*updated BPM September 16, 2017 - TL",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,DS
DCBR,Dog and Cat Breeder Registry,DCBR,,Ministry of Agriculture and Food,"Science, Policy and Inspection Division",Corporate Policy & Priorities Branch,UNKNOWN,LW
DCP,BC Hydro DCPs (Data Collection Platform) for snow Survey data,"A collection of daily and hourly snow and climate data.  Needs to be captured into AQTS.

Flat files with a Fortran 77 reporting tool. 

Open VMS Managers account can be found in Keypass.",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",STD
DCS,Tempest Decode System Toolkit,"The OTT HydroMet Sutron Tempest DCS Toolkit is part of the data acquisition solution for water quality automated well observations, automated snow pillow data, and hydrometric data.  The toolkit converts raw sensor readings (time series data) into an ASCII data format which is subsequently fed into the Aquarius Timeseries Server a component of AQTS applications servicing environmental monitoring of water data.  It processes hourly ~630 automated snow pillow, observation well, and hydrometric stations.

AQTS supply outside agencies and the public with data via the provincial Data Catalogue and the ministries website. 

Sutron is the manufacture but its parent company is OTT HydroMet Corp.  MoE and River Forecast Centre share a maintenance contract with Sutron for their DCS licenses.

* Note. The DCS server outages/updates should be scheduled on Wednesdays, 5-6pm.

* Note. Server pulls data every 30 minutes, so outages outside the window that data is not being pulled may require a manual backfill - this depends on the station configuration many of which overlap their data to prevent the need to backfill. The RFC does monthly bulletins around the 7th of each month.",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",COTS
DCSRFC,Tempest Decode System Toolkit and  Hydro-Met Analysis System - River Forecast Centre,"The Tempest DCS Toolkit and  Hydro-Met Analysis System is part of the data acquisition solution for automated snow pillow data.  The toolkit converts raw sensor readings (time series data) into an XML data format which is subsequently fed into the the DCS Tempest time series  analysis software which currently serves the River Forecast Centre.

* DCS is especially needed during freshet (peak time of snow melt and highest chance of flooding) typically between May and July as well as October to December of each year.

Ultimately the DCS Tempest deployment will be replaced by Aquarius Server, and its separate deployment of DCS.

The River Forecast System also includes data feeds to the Water and Routing Numeric System (WARNS). 

Tempest uses PostgreSQL as its RDBMS install on the DCS Tool server. Cygwin is used to run some batch tasks written for a POSIX environment. 

Sutron is the manufacture but its parent company is OTT HydroMet Corp. Moe and River Forecast Centre share a maintenance contract with Sutron for their DCS licenses.

",,"Ministry of Water, Land and Resource Stewardship",N/A,N/A,N/A,COTS
DGEN,Document Generation Services,"The Document Generation services provide a platform for automated generation of electronic documents that are associated with NRPP Authorizations processes. Based on template design, client or case-specific information is combined with common or standard information.

For infrastructure and midtier changes, testing and verification is completed through Line-of-business test cases: ARTS, AS/NROS, FNCS, FNP, RAR(2), RRS, FTA

Note: 2024-07-16: DGEN dgen-docgen-api has now been removed from all ISSS Tomcat servers (it remains on OFM servers).

Note:2024-02-07
DGEN dgen-docgen-api was attempted to be moved into a tomcat service and IRS was updated to reflect the anticipated move; however, the service continued to run in OFM/WebLogic 12c. This service still exists on ISSS Tomcat servers; however, has now been shutdown/disabled to avoid confusion & extraneous use of resources. 

",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Digital Partnerships and Solutions,Development & Digital Services,ISSSSVC
DGPS,Canada Wide DGPS System,"[LOB Data]Canada Wide DGPS System.  Resides on a workstation at BMGS.

link: http://www.cdgps.com/
updated BPM Oct 16, 2015 - KK

Associated Software - CDGPS Remote Monitoring System (proprietary to CDGPS)",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
DGRCLS,Protection Program Danger Class Report,"Status re-verified as per BPM - Nov 2019

This application creates a simple report of danger classes for the selected Forestry Region for the previous 5 days, today and 3 forecasted days. 

2022 update - the original version at https://bcfireinfo.for.gov.bc.ca/hprScripts/DgrCls/index.asp has been retired and replaced with a new component under WFWX.  A pointer at the old location remains to direct people to the new one.",,Ministry of Forests,BC Wildfire Service,N/A,N/A,LW
